tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth1, link-type EN10MB (Ethernet), capture size 65535 bytes
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth2, link-type EN10MB (Ethernet), capture size 65535 bytes
22:19:15.009336 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:17.011517 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:19.014271 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:21.016471 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:23.018713 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:25.020870 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:27.024172 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:29.026359 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:31.029513 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:33.031851 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:35.035098 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:37.037340 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:39.040599 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:41.042836 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:43.046138 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:45.048401 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:47.050663 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:49.052932 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:51.056209 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:53.059479 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:55.061696 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:57.064020 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:19:59.067291 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:01.069545 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:03.072836 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:05.076107 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:07.078374 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:09.080678 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:11.083970 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:13.087309 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:15.089556 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:17.091895 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:19.095166 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:21.098472 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:23.100746 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:25.104041 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:27.106409 STP 802.1w, Rapid STP, Flags [Learn, Forward], b22:19:15.009303 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:17.011487 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:19.014240 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:21.016439 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:23.018680 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:25.020839 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:27.024137 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:29.026329 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:31.029481 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:33.031819 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:35.035066 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:37.037308 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:39.040567 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:41.042804 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:43.046106 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:45.048369 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:47.050632 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:49.052900 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:51.056177 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:53.059447 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:55.061664 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:57.063987 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:19:59.067258 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:01.069512 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:03.072804 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:05.076072 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:07.078342 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:09.080645 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:11.083939 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:13.087277 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:15.089526 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:17.091847 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:19.095134 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:21.098440 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:23.100714 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:25.104010 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:27.106377 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:29.108758 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:31.112055 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:33.114470 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:35.116824 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:37.120186 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:39.622328 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:41.625145 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:43.627425 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:45.629709 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:47.633029 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:49.635261 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:51.637519 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:53.640793 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:55.644076 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:57.646367 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:20:59.648693 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:01.650927 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:03.654207 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:05.656485 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:07.658791 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:09.662038 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:11.664279 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:13.666560 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:15.669811 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:17.673078 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:19.675381 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:21.677633 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:23.679999 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:25.683288 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:27.685552 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:29.687955 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:31.691196 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:33.693604 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:35.695864 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:37.699301 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:39.701581 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:41.703840 ridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:29.108725 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:31.112023 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:33.114439 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:35.116792 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:37.120154 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:39.622296 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:41.625112 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:43.627392 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:45.629677 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:47.632996 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:49.635228 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:51.637488 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:53.640761 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:55.644044 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:57.646335 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:20:59.648661 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:01.650895 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:03.654175 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:05.656452 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:07.658758 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:09.662005 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:11.664239 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:13.666511 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:15.669778 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:17.673045 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:19.675348 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:21.677601 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:23.679967 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:25.683255 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:27.685519 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:29.687905 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:31.691163 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:33.693570 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:35.695832 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:37.699251 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:39.701549 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8001, length 43
22:21:41.703808 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:43.707296 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:45.709703 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:47.713136 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:49.715505 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:51.717909 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:53.721241 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:55.723517 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:57.726757 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:21:59.730056 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:01.732352 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:03.735647 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:05.737880 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:07.741125 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:09.743378 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:11.746574 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:13.749820 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:15.752988 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
22:22:17.756207 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.9e:80:d6:e0:c9:43.8002, length 43
