tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth2, link-type EN10MB (Ethernet), capture size 65535 bytes
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth1, link-type EN10MB (Ethernet), capture size 65535 bytes
22:19:16.414806 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:18.418133 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:20.420306 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:22.422220 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:24.924435 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:26.926764 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:28.930054 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:30.932428 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:32.934724 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:34.938021 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:36.941274 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:38.943547 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:40.945831 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:42.949142 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:44.952457 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:46.954706 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:48.958010 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:50.961292 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:52.963587 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:54.965781 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:56.969031 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:19:58.971246 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:20:00.973453 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:20:02.975749 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:20:04.978983 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:20:06.979737 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
22:20:08.982994 STP 802.1w, Rapid STP, Flags [Learn, Forward], bridge-id 8000.f2:1c:9b:9d:37:4a.8001, length 43
